YEAR,SERVICE,TITLE,ID #,DEPARTMENT,LOCATION,DISTRICT,Description,FIN_CODE,Amount,LATITUDE,LONGITUDE
2016,Streets and Utilities,Railroad Crossing Safety Improvements,SU-661164-1,Public Works,Citywide at-grade Railroad Crossings,Citywide,"Annual program for safety and surface improvements at approximately 40 at grade railroad crossings throughout the City.  The program would include improvements of warning signals and gate arms at crossings with collector and arterial streets, and improve surfacing where needed.  The goal is to improve safety at railroad crossings and to give a better riding surface.",CIB,10000,,
2016,Streets and Utilities,Phalen Boulevard - at Olive Street - Traffic Signals,SU-0503453,Public Works,Phalen Blvd/Olive Street Intersection,5,Install a traffic signal at the intersection of Phalen Boulevard and Olive Street.,MSA,125000,44.9613152,-93.0877762
2016,Streets and Utilities,Pedestrian Safety and Traffic Improvements,SU-133450,Public Works,Snelling and Selby Area,13,"This three-part project addresses serious concerns about pedestrian safety in the Snelling-Selby area.  It implements infrastructure changes, some already designed by Saint Paul Public Works, and uses placemaking elements, including public art and signage, to divert and slow vehicle traffic in the area, making it safer for all users.",Sale of Land,25000,44.9465637,-93.1669617
2016,Streets and Utilities,Oakdale Ave Lighting Improvements,SU-0303447,Public Works,Oakdale Ave from State St. to Annapolis St,3,"This project is to replace and supplement current bent straw lights on Oakdale Ave between State St and Annapolis St. with lantern style LED lighting.  Current lighting is dim, inefficient, and unattractive",Assessment,75000,44.9244881,-93.0778732
2016,Streets and Utilities,Oakdale Ave Lighting Improvements,SU-0303447,Public Works,Oakdale Ave from State St. to Annapolis St,3,"This project is to replace and supplement current bent straw lights on Oakdale Ave between State St and Annapolis St. with lantern style LED lighting.  Current lighting is dim, inefficient, and unattractive",MSA,388000,44.9244881,-93.0778732
2016,Streets and Utilities,Municipal State Aid Contingency,SU-660818-1,Public Works,Citywide,Citywide,"To provide a funding source for Municipal State Aid (MSA) projects which, through unforeseen circumstances, exceed predicted costs.  Also, to provide a funding source for the City's share of MnDOT projects that involve City facilities.",MSA,233000,,
2016,Streets and Utilities,Kellogg/ 3rd Street,SU-0403189,Public Works,Kellogg/ Third From Lafayette to Maria,4,"This project will provide design funding for reconstruction of the 20-span, 2116-foot long Kellogg-Third Street Bridge #62080/62080A over I-94, various railroads, the Bruce Vento Nature Sanctuary, Commercial Street and 4th Street.",MSA,1125000,44.9525642,-93.0753174
2016,Streets and Utilities,Grand Ave Pedestrain Safety and Traffic Calming,SU-5503229,Public Works,Grand Ave between Hamline and Lexington,"14, 16","This project focuses on traffic calming and pedestrian safety on Grand Avenue between Lexington Avenue and Hamline Avenue. This is a heavily trafficked area, used by pedestrians, cyclists and motorists accessing businesses and residences. Due to recent pedestrian accidents and fatalities, we are requesting CIB funding to calm traffic and bring more visibility to pedestrians.",CIB/FED,668000,44.9400139,-93.1525192
2016,Streets and Utilities,Grand Ave Pedestrain Safety and Traffic Calming,SU-5503229,Public Works,Grand Ave between Hamline and Lexington,"14, 16","This project focuses on traffic calming and pedestrian safety on Grand Avenue between Lexington Avenue and Hamline Avenue. This is a heavily trafficked area, used by pedestrians, cyclists and motorists accessing businesses and residences. Due to recent pedestrian accidents and fatalities, we are requesting CIB funding to calm traffic and bring more visibility to pedestrians.",CIB,250000,44.9400139,-93.1525192
2016,Community Facilities,Como Conservatory Propagation Room- Capital Maintenance,CF-660836-352,Parks and Recreation,1325 Aida Place,10,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,39400,44.98103768,-93.15107321
2016,Streets and Utilities,Cleveland Ave Lighting Improvements,SU-1303440,Public Works,Cleveland Ave between Summit and Marshall,13,We propose that the City of St. Paul install brighter lights on Cleveland Avenue between Summit and Marshall avenues; Cleveland borders the east side of the University of St. Thomas campus.,Private,25000,44.9453316,-93.1873016
2016,Streets and Utilities,Cleveland Ave Lighting Improvements,SU-1303440,Public Works,Cleveland Ave between Summit and Marshall,13,We propose that the City of St. Paul install brighter lights on Cleveland Avenue between Summit and Marshall avenues; Cleveland borders the east side of the University of St. Thomas campus.,CIB,35000,44.9453316,-93.1873016
2016,Streets and Utilities,Cleveland Ave Bike Land Improvements,SU-5503582,Public Works,Cleveland Ave from University Ave to Highland Parkway,"14, 15","The purpose of this project is to provide an improved north-south bicycle facility on Cleveland Avenue from University Avenue on the north, to Highland Parkway on the south. This project will improve the bicycling environment as it relates to safety, accessibility, and connectivity.  Improvements will include the installation of dedicated bicycle lanes, pavement markings, and signage. Since modifying on-street parking capacity is a component of the project, parking mitigation strategies are proposed, including the installation of at least one parking bay, and possible changes to timed and permit parking.",Sale of Land,200000,44.9408226,-93.1874008
2016,Streets and Utilities,Bridge Enhancement Program,SU-662344-1,Public Works,Citywide,Citywide,This program provides bridge enhancements that include ornamental railing and lantern lighting to bridges that currently have no amenities and are not scheduled for reconstruction for at least ten years.  Projects will be selected through a CIB process with selection criteria developed by Public Works and the CIB Committee.,CIB,235000,,
2016,Streets and Utilities,"Bicycle, Pedestrian and Traffic Safety Program",SU-662764-1,Public Works,Citywide,Citywide,"This program will be utilized to safety improvements at various intersections and locations throughout the City to promote alternate means of transportation such as walking and bicycling as a healthy and more active lifestyle, and develop and implement projects and activities that improve safety and reduce traffic, fuel consumption, and improve air quality.

Funding will be used to install bike lanes, pavement markings and signs, and install bicycle racks in sidewalk areas to recognize and encourage bicycling as a viable transportation mode. At signalized intersections, funding will be utilized to install pedestrian countdown timers, audible pedestrian signals and new pedestrian ramps to meet current design standards. A variety of neighborhood traffic calming techniques such as pedestrian refuge islands, street narrowing, chokers (bump outs), diverters, traffic circles, street closures, signing, pavement markings, median islands, and dynamic speed limit display signs can be used to calm traffic and increase safety. These techniques must be tailored for a particular problem.",CIB,235000,,
2016,Internal Service,Citywide Long-Term Capital Maintenance Program,CF-660836-1,General Government,Citywide,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,0,,
2016,Streets and Utilities,Pierce Butler Lexington Parkway Bicycle Connection,SU-113012,Public Works,Pierce Butler Route and North Lexington Parkway,11,"Directly connect the Lexington Parkway Regional Trail (north/south) to the Pierce Butler Bike Route (east/west) by means of constructing a bicycle ramp system between the two routes, which are not at grade with each other.",CIB,160000,44.9671173,-93.1468048
2016,Community Facilities,Linwood Rec Center Retaining Wall Rebuild and Stabilization- Capital Maintenance,CF-660836-375,Parks and Recreation,860 St. Clair Ave,16,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,101000,44.9339828,-93.1370316
2016,Community Facilities,West District Parking Lot Surveillance Cameras- Capital Maintenance,CF-660836-374,Police,389 N Hamline Ave,14,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,10518,44.92977135,-93.15685676
2016,Community Facilities,Traffic Operations Hot Water Boiler Upgrade- Capital Maintenance,CF-660836-373,Public Works,899 Dale Street North,10,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,45000,44.96825187,-93.12638621
2016,Community Facilities,Specialty Unit Garage Door Replacement (911 Garage)- Capital Maintenance,CF-660836-372,Police,388 13th Street,5,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,12338,44.95703077,-93.08816233
2016,Residential and Economic Development,Vacant & Hazardous Building Demolition,RE-660840,Safety and Inspections,Citywide,Citywide,"This is a city-wide, multi-year program which provides resources to clear buildings which are considered nuisance properties, and/or pose a threat to public health and safety. Properties must have been 1) vacant for at least one year, 2) vacant and unfit for rehabilitation for at least 90 days, and are typically identified on the City's Vacant Building List. The Program is administered by the City's Code Enforcement personnel in the Department of Safety and Inspections.",CDBG,400000,,
2016,Residential and Economic Development,St. Paul Home Improvement Loan Fund,RE-661753-7,Planning and Economic Development,Citywide,Citywide,Community Neighborhood Housing Services' St. Paul Home Improvement Loan Fund provides home improvement loans and construction management services for home improvement projects for eligible low-to-moderate income single family owner occupied homes in the City of St. Paul with a focus on underrepresented neighborhoods and overall city-wide coverage and support.,CDBG,200000,,
2016,Residential and Economic Development,St. Paul Green Line Home Improvement Program,RE-661753-9,Planning and Economic Development,Single Family Owner Occupied Homes along the green line transit cooridor,Citywide,NeighborWorks Home Partners St. Paul Green Line Home Improvement Program will provide home improvement loans and grants and construction management services for home improvement projects for eligible low-to-moderate income single family owner occupied homes along the Green Line transit corridor in the heart of St. Paul.,CDBG,200000,44.9557533,-93.123497
2016,Residential and Economic Development,Restore Saint Paul: Commercial Facade Improvement Program,RE-552945-1,Planning and Economic Development,"West Side, Daytons Bluff, Payne Phalen, Frogtown, Summit U,West End","3, 4, 5, 7, 8, 9","The Restore Saint Paul (RSP) Commercial Façade Improvement Program will provide forgivable loans and technical resources that assist business owners with historically appropriate façade improvements. Funded improvements will stabilize aging structures and improve business vitality in Saint Paul's oldest neighborhoods. Forgivable loan amounts will average $37,500, and will only be provided to businesses who serve a majority of Saint Paul residents residing in low-moderate income neighborhoods. We expect to complete 6-10 projects, assisting 8-12 small businesses. Design services will be provided to enhance architectural features, address deferred maintenance concerns, and assists in the development of a business identity, adding to street appeal and attracting new customers. Resources provided through the program will be available to eligible scattered sites in commercial areas of the following districts: D3, D4, D5, D7, D8, and D9. Historic Saint Paul (HSP) will work closely with local community development organizations to ensure this initiative compliments ongoing revitalization efforts.",CDBG,100000,44.9432144,-93.080246
2016,Residential and Economic Development,North End Economic Development Fund,RE-0603432-1,Planning and Economic Development,District 6,6,"With One Hundred Thousand dollars a year CDBG funding, the NEED Fund would make CDBG dollars available to North End businesses with a focus on small business improvements in the area.  There is currently no Community Development Corporation with a primary service area of District 6 and the District 6 Community Council is partnering with NENDC to assist local businesses in having access to CDBG funds.",CDBG,50000,44.9784622,-93.1084671
2016,Residential and Economic Development,NENDC Economic Development/Loan Leverage Fund,RE-552944,Planning and Economic Development,Saint Paul's East Side,"1, 2, 5","Provide business loans and grants, financing for acquisition funds for development and redevelopment projects as well as funding for demolition and preparation for projects located in the City of Saint Paul with a focus on White Bear Avenue and Phalen Village.",CDBG,200000,44.9761467,-93.0220261
2016,Residential and Economic Development,Inspiring Communitites,RE-553431-1,Planning and Economic Development,Citywide,Citywide,"Inspiring Communities addresses vacant property owned by the HRA through development, redevelopment and conveyance. We are producing high quality, affordable ownership and rental units. Our work is stabilizing neighborhoods, decreasing the quantity of vacant buildings, increasing non-distressed home sales, stabilizing real estate values, and increasing the City's tax base.",CDBG,425000,,
2016,Residential and Economic Development,Housing Real Estate Multi-Unit Development Fund,RE-661808-5,Planning and Economic Development,Citywide,Citywide,"Funding is being requested to address rental or ownership properties with more than four units as follows:  

1.	Assist in rehabilitation/redevelopment.    
2.	Implement CDBG-eligible activities related to acquisition and related costs such as relocation, demolition, site preparation, public improvements, rehabilitation, new construction (if marketable), and all financing and other related costs that are part of the total development cost of a housing project.
3.	Implement the housing component of larger mixed-use development as determined by Mayor, City Council/HRA and neighborhood priorities",CDBG,400000,,
2016,Residential and Economic Development,Home Improvement Plus,RE-550862-1,Planning and Economic Development,East of Johnson Parkway north of I 94,"1, 2, 4","Home Improvement Plus is NENDC's comprehensive home improvement program. We offer a variety of options to low and moderate income homeowners.  The program offers deferred loans (grants) and low interest loans. Eligible improvements include exterior improvements, code improvements, and value added improvements. The program requires that health and safety needs and improvements must be satisfied before other improvements are funded.  The deferred loans can be used to fund up to half of the total cost of the project with the remainder financed through sources (additional loans, sweat equity...)  A budget of $150,000 for FY 2004 and $150,000 for FY 2005 is requested for this project.",CDBG,125000,44.9531937,-93.0483551
2016,Residential and Economic Development,Facelift Program,RE-552583-3,Planning and Economic Development,Scatted Site Owner Occupied Single Family Homes,"6, 7, 8, 11","Stabilize neighborhoods and families by improving housing stock and providing ""healthy homes."" Resources targeted toward vacant/foreclosed properties located on or close to main corridors and areas of other investment.  Redeveloped properties will be sold at prices affordable to low and low-moderate income families.",CDBG,200000,44.9611626,-93.150032
2016,Residential and Economic Development,East Side Home Improvement Revolving Loan Fund,RE-550797-1,Planning and Economic Development,Dayton's Bluff,"4, 5","The East Side RLF provides a comprehensive package of services to retain and promote safe and affordable home ownership.  Services include: home inspections, lead paint risk assessments, spec writing, assistance obtaining bids, construction monitoring, lead clearance testing, construction escrow management, loan processing, financial counseling and the provision of below market interest rate loans to owner occupant households unable to obtain affordable conventional financing.  Using CDBG funds for rehab financing allows access to a wide variety of public and private resources that are ""packaged"" with RLF loans.  This results in added leverage and neighborhood impact.  Partnerships with private lenders, the MHFA, Neighborhood Reinvestment Corporation and others are fully utilized to maximize investment dollars.  These funds enable homeowners/home buyers to rehabilitate, refinance/rehabilitate or purchase/rehabilitate a home.  Our joint request for CIB/CDBG funding is $1,000,000 (Dayton's Bluff: $500,000 or $250,000 per year, and Payne/Phalen: $500,000 or $250,000 per year).",CDBG,325000,44.9567757,-93.0598068
2016,Residential and Economic Development,Commerical Node Citywide Economic Development Program,RE-661810-3,Planning and Economic Development,Citywide,Citywide,"The Commercial Corridor program will provide financing to assist businesses with expansion, property acquisition, rehabilitation, energy conservation improvements, leasehold improvements and development citywide.

Funds will be prioritized based on the city's Commercial Corridor Work Plans. Targeting city resources in a coordinated, concentrated and comprehensive manner will improve the lives of all Saint Paul citizens.",CDBG,100000,,
2016,Residential and Economic Development,Citywide Homeowner Improvement Loan Program,RE-661807-4,Planning and Economic Development,Citywide,Citywide,"The funds are used to assist low income households to rehabilitate their homes by addressing CDBG eligible uses: (i.e. building code enforcement, lead paint abatement, hazardous waste treatment, handicap accessibility, energy improvements and window, roof and siding replacement, etc.).   Funds are also used for emergency repair of water/sewer lines, deficient furnaces and broken water heaters.",CDBG,825000,,
2016,Residential and Economic Development,Business Investment Fund,RE-0503226,Planning and Economic Development,Payne Ave and Arcade Street between east 7th street and Maryland Street,5,ESNDC's Business Investment Fund (BIF) revitalizes the Payne-Arcade Commercial District by providing financing for facade improvements and code-related rehabilitation for commercial buildings that stimulates investment. ESNDC will also pursue private investments for new development opportunities on Payne Avenue by providing gap financing for construction costs as an incentive.,CDBG,75000,44.972072,-93.0700836
2016,Residential and Economic Development,Acquisition Fund for Stabilizing Neighborhoods,RE-661846-5,Planning and Economic Development,Citywide,Citywide,"Funding is being requested to:
1. Acquire by HRA or its partners hazardous, blighted properties for immediate demolition. Controlling the disposition of the property will allow the HRA and community to determine the highest and best re-use. The resulting vacant lots may be utilized as follows:
a. lots too small for redevelopment may be sold to adjacent property owners, or transferred as neighborhood green space.
b. vacant lots that could be developed as part of a larger redevelopment will be held as part of site assembly for future development.
c. vacant lots that will not be part of a larger development may be held until the market changes and redevelopment in the market place is feasible. (In the interim, use of these lots could be used for community gardens, urban farming and/or green space.)
2. Acquire by HRA or other partners properties for future rehabilitation or preservation. Properties acquired by the HRA with potential for future rehabilitation will be secured and maintained with neighborhood assistance until the real estate market corrects and rehabilitation is financially viable. Properties acquired by partners will be leveraged with other financing for immediate rehabilitation and/or preservation. Funding for the above activity may be recaptured upon sale of the property.",CDBG,125000,,
2016,Community Facilities,Como Street Car Station Street Car Roof and Door frames- Capital Maintenance,CF-660836-346,Parks and Recreation,1224 N Lexington PKWY,10,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,13500,44.9779816,-93.14674753
2016,Internal Service,Transfers to Debt Service Fund,CF-660869-1,General Government,Internal Accounting,Citywide,Transfer of interest earnings from prior years' capital improvement bond accounts and project balances from completed projects to capital improvement bonds debt service account.,Interest,1654000,,
2016,Streets and Utilities,Phalen Boulevard - at Olive Street - Traffic Signals,SU-0503453,Public Works,Phalen Blvd/Olive Street Intersection,5,Install a traffic signal at the intersection of Phalen Boulevard and Olive Street.,Private,150000,44.9613152,-93.0877762
2016,Internal Service,Real Estate Division Design Services,CF-661277-1,Financial Services,Citywide,Citywide,"The Real Estate Division provides staff time and expertise to other city departments that prepare capital maintenance and CIB proposals. These departments do not compensate the division for proposals, only for projects that are eventually funded.",PIA,30000,,
2016,Community Facilities,Repurpose Back-up Generator- Capital Maintenance,CF-660836-371,Public Works,891 North Dale Street,10,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,9500,44.96806837,-93.12638902
2016,Internal Service,CIB Contingency,CF-660693,General Government,Internal Accounting,Citywide,"To set aside a portion of the Capital Improvement Bond proceeds, plus some interest earnings, for unforeseen budget needs such as new project cost overruns and matches to grant received.",CIB,248000,,
2016,Internal Service,Bond Sale Costs,CF-660692-1,General Government,Internal Accounting,Citywide,To set aside a portion of the Capital Improvement Bond proceeds to cover the cost of issuing the bonds.,CIB,130000,,
2016,Community Facilities,Phalen Lakeside Reroof- Capital Maintenance,CF-660836-370,Parks and Recreation,1530 Phalen Drive,2,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,62337,44.97659457,-93.04041053
2016,Community Facilities,Wider Recreation Center Renovation,CF-0503425,Parks and Recreation,"958 Jessie Street, St. Paul, MN  55101",5,"Master plan implementation as per the approved Victoria Park Master Plan (2005/2007/2011).  This phase to include design and construction of a picnic shelter, restroom and associated site amenities  to provide facilities for park users of this brand new 35 acre park located within the West 7th neighborhood.",CIB,400000,44.9699364,-93.0771637
2016,Community Facilities,Victoria Park Universally Accessible Play Area,CF-093562,Parks and Recreation,Stewart Street and Otto Avenue,9,"Victoria Park, a new 40 acre community park planned for the Fort Road neighborhood, includes a new universally accessible playground that will welcome children and families of all abilities to enjoy a nature-themed play area above the bluffs of the Mississippi River. This fully inclusive playground will be the first of its kind in Saint Paul. The former petroleum tank farm will be transformed into an active and passive park where visitors of all abilities are able to play and enjoy the amazing views of the Mississippi River and downtown skyline.",Private,200000,44.9196663,-93.1331024
2016,Community Facilities,Sylvan Play are and Field Improvements,CF-0603421,Parks and Recreation,800 Conway Street,6,"This proposal seeks to refurbish the play area and athletic fields at Sylvan Park. The improvements include replacement any equipment which does not meet CPSC and ADA guidelines and to refurbish and reorganize the athletic fields according to today's uses. Additional site improvements may include walks, benches, and landscaping as necessary.",CIB,148000,44.955143,-93.0660248
2016,Community Facilities,Scheffer Area Strategic Plan,CF-072921,Parks and Recreation,237 Thomas Ave,7,This project involves planning for modifications to Scheffer recreation center. This planning effort will focus on providing a new service delivery model for recreation and learning for youth and adults.  A redeveloped Scheffer will accommodate an expanded program serving all age groups and diverse community interests.,CIB,250000,44.9595947,-93.1101074
2016,Community Facilities,Rondo Commemorative Plaza,CF-083420,Parks and Recreation,820 Concordia Ave,8,"The Rondo Commemorative Plaza and Garden (RCP&G) will be a place to remember the history of Rondo's African-American community. The space will feature interactive historical displays that will provide visual, written, and oral information, signage, images, music and art representative of the Rondo community before the I-94 was built in the early 1960s.",CDBG,250000,44.9511566,-93.1349945
2016,Community Facilities,Parks Grant Prep/Preliminary Design Program,CF-660834,Parks and Recreation,Citywide,Citywide,"This proposal continues the program established in 2008-09 budget to create a fund allowing professional design staff within Parks and Recreation to work on unfunded community projects and grant preparation, including CIB and CIP preparation.  This program is needed because salaries of professional design staff within Parks and Recreation are not funded through the City's General Operating Budget as are most City staff.  Instead, their time is charged by the hour to projects which have been approved and funded through CIB, Metro Parks, Federal and State Grants, and other sources.  This is an existing annual program that is currently funded at $30,000/year CIB and $30,000/year PIA for a total of $60,000/year to cover the basic cost of services requested and provided.",PIA,30000,,
2016,Community Facilities,Parks Grant Prep/Preliminary Design Program,CF-660834,Parks and Recreation,Citywide,Citywide,"This proposal continues the program established in 2008-09 budget to create a fund allowing professional design staff within Parks and Recreation to work on unfunded community projects and grant preparation, including CIB and CIP preparation.  This program is needed because salaries of professional design staff within Parks and Recreation are not funded through the City's General Operating Budget as are most City staff.  Instead, their time is charged by the hour to projects which have been approved and funded through CIB, Metro Parks, Federal and State Grants, and other sources.  This is an existing annual program that is currently funded at $30,000/year CIB and $30,000/year PIA for a total of $60,000/year to cover the basic cost of services requested and provided.",CIB,30000,,
2016,Community Facilities,Phalen Lakeside Fire Panel- Capital Maintenance,CF-660836-369,Parks and Recreation,1530 Phalen Drive,2,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,17500,44.97659457,-93.04041053
2016,Community Facilities,Palace Recreation Center Renovations,CF-0902916,Parks and Recreation,781 Palace Ave,9,"Funding is requested for preliminary planning and design to assess project scope, requirements, and cost estimate for this well attended community gathering spot in the heart of St. Paul's West 7th/ Fort Road District.",CIB,1380000,44.9292908,-93.1327896
2016,Community Facilities,Outdoor Court Restoration Program,CF-660833,Parks and Recreation,Citywide,Citywide,"This proposal is to continue the annual program begun in the 1996-1997 budget to systematically resurface or replace, if necessary, the 101 tennis courts and 10 practice tennis courts, and broaden the program to include the 41 outdoor basketball courts, and increase the requested budget to $250,000 per year.",CIB,235000,,
2016,Community Facilities,North Dale Refridgerated Ice Rink Modifications,CF-0503417,Parks and Recreation,1414 St. Albans St. N,5,"Two of the three refrigerated ice rinks installed in 2007 require major system modifications.  We will install the piping system underground and leave the infrastructure in place on a permanent basis, which will minimize annual start-up and shut-down costs, and provide a more long term sustainable system.  It will also provide a summer roller hockey sport field.",CIB,407000,44.9836464,-93.1275024
2016,Community Facilities,New Facility for Police Training,CF-6603207-1,Police,1675 Energy Park Drive,11,"The police department is looking to replace the Annex Building located at 100 E 10th Street. The new facility will be utilized for an indoor shooting range, defensive tactics area, training unit and classroom, and Special Investigative Task Force Office. The City of St. Paul's Real Estate has helped us locate an existing structure that would meet most of our needs. The building would require an addition to the existing building for the indoor range. The Communication Services & Maintenance garage would be relocated to the Public Safety Garage located at 1675 Energy Park Drive.  The new training facility will be built at 600 Lafayette Raod.",CIB,1000000,44.9719429,-93.1712341
2016,Community Facilities,Edgcumbe Fire Panel- Capital Maintenance,CF-660836-368,Parks and Recreation,320 Griggs St S,14,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,17500,44.93153,-93.1505814
2016,Community Facilities,Jimmy Lee Elevator Modernization- Capital Maintenance,CF-660836-367,Parks and Recreation,270 Lexington Pkwy N.,8,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,115500,44.9496574,-93.1454773
2016,Community Facilities,Jimmy Lee Boiler Replacement- Capital Maintenance,CF-660836-366,Parks and Recreation,270 Lexington Pkwy N.,8,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,46500,44.9496574,-93.1454773
2016,Community Facilities,May Park Play Area,CF-113129,Parks and Recreation,"816 Clayland Place, St. Paul, MN",11,"The project includes removal of existing play equipment, possible replacement with a smaller or modified play area, and improvements to the multi-purpose turf field located at May Park, including associated parkland enhancements.  Enhancements of the park will be discussed with a community design advisory committee to determine the preferred style of the play area as well as naturalized landscaping, improved circulation around the park, and improvements to the multi-purpose turf field. If it's determined a play area is needed, improvements to it will replace the play equipment constructed in 1987 and it will meet current ADA and CPSC standards.",CIB,254000,44.9653664,-93.1781235
2016,Community Facilities,Lewis Park Splash Pad UV Light System- Capital Maintenance,CF-660836-365,Parks and Recreation,Marion and Wayzata,6,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,9000,44.96900134,-93.1097667
2016,Community Facilities,Jimmy Lee Play Area,CF-083124,Parks and Recreation,1063 Iglehart Ave,8,"Removal and replacement of existing play equipment and parking lot improvements located at the Oxford/Jimmy Lee Recreation Center, including associated parkland enhancements.  This project also includes investigation and site clean up required if contamination is found.  This is likely due to the proximity to the improved Jimmy Lee Recreation Fields, where extensive contamination was found.  Play area enhancements include resilient surfacing to meet ADA compliance installed under new play equipment, equipment replacement, and other site amenities such as seating and landscaping.  The most recent improvements were over 18 years ago, in 1995.",CIB,600000,44.9497643,-93.1446075
2016,Community Facilities,Landmark Plaza Stone Replacement- Capital Maintenance,CF-660836-364,Parks and Recreation,5th and Market,17,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,99752,44.94514102,-93.09665859
2016,Community Facilities,Municipal Athletics Door Replacement- Capital Maintenance,CF-660836-363,Parks and Recreation,1500 Rice St N,6,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,13000,44.98629,-93.1051559
2016,Community Facilities,Frogtown Park and Farm/Wilder Play Area,CF-0703102,Parks and Recreation,119 Blair Street,7,"A community generated proposal for a new park, nature preserve and urban demonstration garden to be located on 13 acres of land vacated by the former Wilder Foundation in an area of Saint Paul in great need of green space. This proposal offers unique opportunities to both partner with the Trust for Public Land (TPL) to acquire the property, and to partner with community organizations for future programming.  TPL has negotiated a purchase agreement with the Wilder Foundation on the property and is in process to receive an LCCMR grant of up to $1.5M.  The City is committing $280,000 of eligible parkland replacement funds in 2012.  When combined with tentative future CIB cycle commitments of $220,000 of STAR and $500,000 of CIB bonds, the City's total investment will be $1 million of the TPL $3.5 million project budget.",CIB,522000,44.9615135,-93.1373291
2016,Community Facilities,Park and Library Capital Asset Revitalization,CF-661982,Parks and Recreation,Citywide,Citywide,"Provide resources for the maintenance of the City's Libraries and Recreation Facilities in need of repair, upgrade and reconfiguration to address shifting use.  This will include an evaluation of use, projected trends, budgets, and how to best extend the useful life of existing facilities to meet the needs of residents and to decrease the need for premature major re-developments.",CIB,190000,,
2016,Community Facilities,Fire Station 19 Expansion,CF-152897,Fire,2530 Edcumbe Roade,15,The Fire Department would like to build a two story addition at Fire Station 19 (Saint Paul Avenue at Edgcumbe Road). The addition would include a drive-through apparatus bay 20 feet wide by 86 feet long with the second floor containing additional dormitory and firefighter spaces.,CIB,1340000,44.9037247,-93.1766281
2016,Community Facilities,Municipal Athletics Building Roof Repair- Capital Maintenance,CF-660836-362,Parks and Recreation,1500 Rice St N,6,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,8000,44.98629,-93.1051559
2016,Community Facilities,Enhancement of Bike Trail along I35E,CF-0903407,Parks and Recreation,35E between Grand and St. Clair Ave,9,"Enhancement of the bike trail that runs along Interstate 35E from Grand Avenue to St. Claire Avenue. Funding request includes a crosswalk at the start and end of bike path (Grand and St Claire Avenue), resurfacing the path, lighting in key areas of safety concern, access to water for the critical maintenance of several thousands dollars worth of trees, shrubs, and plants that are part of a landscaping plan starting spring 2015.",CIB,178000,44.934999,-93.124933
2016,Community Facilities,Improve Overhead Crane Operations- Capital Maintenance,CF-660836-361,Public Works,891 North Dale Street,10,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,28000,44.96806837,-93.12638902
2016,Community Facilities,Highland National Lighting- Capital Maintenance,CF-660836-360,Parks and Recreation,1403  Montreal Avenue,15,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,14000,44.91251737,-93.16183072
2016,Community Facilities,Citywide Tree Planting Program,CF-660835,Parks and Recreation,Citywide,Citywide,"Planting of approximately 2,500 deciduous trees, 2 inch to 2 1/2 inch caliper, balled and burlapped, and approximately 50 evergreens, balled and burlapped.",CIB,330000,,
2016,Community Facilities,Children's Play Area Improvements,CF-661054,Parks and Recreation,Citywide,Citywide,"Continuation of an annual program which facilitates the systematic replacement, renovation and/or retrofitting of the City's existing children's play areas.",CIB,235000,,
2016,Community Facilities,Asphalt Restoration and Replacement Program,CF-661722-1,Parks and Recreation,Citywide,Citywide,"This proposal requests continued support of the Asphalt Restoration and Replacement Program.  The program was first established in the 1996-97 budget to systematically resurface, seal coat, and/or repair the over 50 miles of paved paths and trails in the City's park system, including paved sites, building access routes, and parking lots.",CIB,235000,,
2016,Community Facilities,Phalen Rec Center Gym Window Film- Capital Maintenance,CF-660836-359,Parks and Recreation,1000 Wheelock Pkwy E,5,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,3500,44.9835815,-93.0584335
